,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
181,603567,珍宝岛,0.22,-22.12,,3.52,,18445.82,-22.13,,08-12
182,688196,卓越新能,1.22,,,6.9,,14676.62,46.68,,08-12
183,600426,华鲁恒升,0.56,-30.93,,6.16,,90406.39,-30.93,,08-12
184,002962,五方光电,0.29,-39.58,,4.24,,7068.0,-2.56,,08-12
185,000059,华锦股份,-0.42,-224.31,,-5.04,,-66909.21,-224.32,,08-12
186,002908,德生科技,0.09,-35.97,,2.34,,1742.0,-35.96,,08-12
187,300339,润和软件,0.09,-35.71,,2.47,,6993.78,-35.89,,08-12
188,000856,冀东装备,0.02,-63.4,,1.21,,416.47,-63.9,,08-12
189,002372,伟星新材,0.23,-17.86,,9.06,,35656.77,-19.61,,08-12
190,603036,如通股份,0.14,16.67,,2.73,,2896.2,15.32,,08-12
191,002015,协鑫能科,0.26,31.77,,7.05,,35341.05,31.77,,08-12
192,600860,*ST京城,-0.06,-25.0,,-7.41,,-2408.98,-32.28,,08-12
193,300678,中科信息,0.07,8.94,,2.01,,1205.52,8.97,,08-12
194,603967,中创物流,0.33,-21.43,,4.56,,8794.06,-6.16,,08-12
195,600169,太原重工,-0.12,-1783.1,,-9.7,,-30633.31,-1793.36,,08-12
196,603128,华贸物流,0.27,50.0,,6.38,,27108.2,46.39,,08-12
197,300363,博腾股份,0.25,108.33,,4.21,,13094.47,100.49,,08-12
198,000895,双汇发展,0.92,26.92,,17.42,,304093.32,27.68,,08-12
199,600719,大连热电,0.03,-31.71,,1.55,,1149.11,-30.07,,08-12
200,002945,华林证券,0.11,57.14,,5.2,,28460.7,55.74,,08-12
201,603367,辰欣药业,0.4,-28.57,,3.85,,17966.59,-28.96,,08-11
202,300666,江丰电子,0.19,216.67,,6.24,,4083.4,196.11,,08-11
203,300740,御家汇,0.09,500.0,,2.72,,3362.84,464.19,,08-11
204,002346,柘中股份,0.01,-96.56,,0.12,,241.22,-96.61,,08-11
205,002557,洽洽食品,0.58,34.28,,7.58,,29520.97,33.97,,08-11
206,002788,鹭燕医药,0.4,8.11,,7.0,,13002.99,7.22,,08-11
207,300320,海达股份,0.13,-22.4,,4.6,,7894.97,-22.37,,08-11
208,300763,锦浪科技,0.86,95.45,,12.74,,11832.54,281.87,10派10,08-11
209,002083,孚日股份,0.16,-43.58,,3.82,,14461.75,-44.03,,08-11
210,600143,金发科技,0.94,389.6,,20.25,,241171.79,373.27,,08-11
211,002360,同德化工,0.12,-33.33,,3.98,,4526.19,-36.6,,08-11
212,002007,华兰生物,0.28,-22.43,,7.32,,51174.0,0.94,,08-11
213,002131,利欧股份,0.04,11.11,,3.14,,26154.12,15.58,,08-11
214,600711,盛屯矿业,0.02,-36.67,,0.48,,4385.38,-31.52,,08-11
215,603898,好莱客,0.25,-47.92,,3.01,,7670.69,-48.44,,08-11
216,601636,旗滨集团,0.19,-2.46,,5.95,,50609.62,-2.36,,08-11
217,002065,东华软件,0.13,3.7,,4.13,,40130.68,3.74,,08-11
218,002910,庄园牧场,-0.01,-107.14,,-0.16,,-197.51,-107.4,,08-11
219,300342,天银机电,0.12,-33.33,,3.6,,5176.63,-33.19,,08-11
220,600493,凤竹纺织,0.03,-48.92,,1.21,,904.03,-48.88,,08-11
221,600989,宝丰能源,0.29,3.57,,8.58,,209203.68,10.75,,08-11
222,603010,万盛股份,0.31,47.62,,8.37,,10665.1,43.21,,08-11
223,300257,开山股份,0.14,129.33,,3.21,,11805.52,116.65,,08-11
224,002438,江苏神通,0.19,2.52,,4.66,,9407.07,2.5,,08-11
225,600731,湖南海利,0.38,494.09,,10.96,,13596.86,494.07,,08-11
226,300496,中科创达,0.43,96.25,,8.92,,17448.16,97.8,,08-11
227,600133,东湖高新,0.25,86.71,,4.08,,19424.63,82.59,,08-11
228,002176,*ST江特,0.0,-96.0,,0.18,,277.13,-96.24,,08-11
229,002353,杰瑞股份,0.72,38.46,,6.84,,68873.45,37.78,,08-11
230,688065,凯赛生物,0.55,-19.12,12.95,4.34,0.58,20642.81,-18.47,,08-11
231,600183,生益科技,0.36,20.0,,9.21,,82585.12,31.33,,08-11
232,600477,杭萧钢构,0.22,131.25,,12.73,,47772.67,131.95,,08-11
233,300563,神宇股份,0.37,19.74,,5.15,,3059.66,22.79,,08-11
234,300718,长盛轴承,0.3,3.45,,4.76,,5886.14,2.47,,08-11
